Time,Temperature 1,Photoresistor Value,Humidity,Temperature 2,Plant1Moisure,Plant2Moisure
2020-06-29 01:13:32.164397,26.25,255,35,27,217,223
2020-06-29 01:13:37.173547,26.25,255,35,27,217,223
2020-06-29 01:13:42.178803,26.25,255,35,27,217,223
2020-06-29 01:13:47.184006,26.25,255,35,27,217,223
2020-06-29 01:13:52.189194,26.25,255,35,27,217,223
2020-06-29 01:13:57.194378,26.25,255,35,27,217,223
2020-06-29 01:14:02.199585,26.25,255,35,27,217,223
2020-06-29 01:14:07.204787,26.25,255,35,27,217,223
2020-06-29 01:14:12.209992,26.25,255,35,27,217,223
2020-06-29 01:14:17.215197,26.25,255,35,27,217,223
2020-06-29 01:14:22.220396,26.25,255,35,27,217,223
2020-06-29 01:17:32.644212,25.937,255,37,26,217,223
2020-06-29 01:17:37.649646,25.937,255,37,26,217,223
2020-06-29 01:17:42.654933,25.937,255,37,26,217,223
2020-06-29 01:17:47.660203,25.937,255,37,26,217,223
2020-06-29 01:17:52.665487,25.937,255,37,26,217,223
2020-06-29 01:17:57.670777,25.937,255,37,26,217,223
2020-06-29 01:18:02.676072,25.937,255,37,26,217,223
2020-06-29 01:18:07.681333,25.937,255,37,26,217,223
2020-06-29 01:18:12.686607,25.937,255,37,26,217,223
2020-06-29 01:18:17.691886,25.937,255,37,26,217,223
2020-06-29 01:18:22.697157,25.937,255,37,26,217,223
2020-06-29 01:18:27.702455,25.937,255,37,26,217,223
2020-06-29 01:18:32.707733,25.937,255,37,26,217,223
2020-06-29 01:18:37.713027,25.937,255,37,26,217,223
2020-06-29 01:18:42.718305,25.937,255,37,26,217,223
2020-06-29 01:18:47.723582,25.937,255,37,26,217,223
2020-06-29 01:18:52.728912,25.937,255,37,26,217,223
2020-06-29 01:18:57.734193,25.937,255,37,26,217,223
2020-06-29 01:19:02.739474,25.937,255,37,26,217,223
2020-06-29 01:27:50.404200,26.187,255,37,26,217,223
2020-06-29 01:27:55.412935,26.187,255,37,26,217,210
2020-06-29 01:28:00.421550,26.187,255,37,26,217,210
2020-06-29 01:28:05.430134,26.187,255,37,26,217,210
2020-06-29 01:28:10.438756,26.187,255,37,26,217,78
2020-06-29 01:28:15.447398,26.187,255,37,26,217,78
2020-06-29 01:28:20.456027,26.187,255,37,26,218,78
2020-06-29 01:28:25.464621,26.187,255,37,26,219,78
2020-06-29 01:28:30.473240,26.187,255,37,26,219,78
2020-06-29 01:28:35.481823,26.187,255,37,26,218,78
2020-06-29 01:28:40.490432,26.187,255,37,26,219,78
2020-06-29 01:28:45.499015,26.187,255,37,26,219,78
2020-06-29 01:28:50.507627,26.187,255,37,26,219,174
2020-06-29 01:28:55.516210,26.187,255,37,26,218,207
2020-06-29 01:29:00.524798,26.187,255,37,26,217,207
2020-06-29 01:29:05.533355,26.187,255,37,26,218,214
2020-06-29 01:30:26.324228,26.437,255,37,26,217,224
2020-06-29 01:30:31.332963,26.437,255,37,26,218,211
2020-06-29 01:30:36.341571,26.437,255,37,26,217,210
2020-06-29 01:30:41.350210,26.437,255,37,26,217,77
2020-06-29 01:30:46.358883,26.437,255,37,26,217,77
2020-06-29 01:30:51.367509,26.437,255,37,26,218,77
2020-06-29 01:30:56.376142,26.437,255,37,26,218,77
2020-06-29 01:31:01.384811,26.437,255,37,26,217,76
2020-06-29 01:31:06.393439,26.437,255,37,26,217,195
2020-06-29 01:31:11.402081,26.437,255,37,26,217,147
2020-06-29 01:31:16.410722,26.437,255,37,26,218,208
2020-06-29 01:31:21.419369,26.437,255,37,26,218,211
2020-06-29 01:31:26.428000,26.437,255,37,26,218,211
2020-06-29 01:31:31.436671,26.437,255,37,26,198,211
2020-06-29 01:31:36.443903,26.437,255,37,26,175,210
2020-06-29 01:31:41.453007,26.437,255,37,26,153,210
2020-06-29 01:31:46.461640,26.437,255,37,26,135,214
2020-06-29 01:31:51.470296,26.437,255,37,26,114,211
2020-06-29 01:31:56.478990,26.437,255,37,26,160,211
2020-06-29 01:32:01.483909,26.437,255,37,26,198,211
2020-06-29 01:32:06.494067,26.437,255,37,26,219,211
2020-06-29 01:32:11.502713,26.437,255,37,26,220,213
2020-06-29 01:32:16.511327,26.437,255,37,26,220,211
2020-06-29 01:32:21.519970,26.437,255,37,26,220,212
2020-06-29 01:32:26.523900,26.437,255,37,26,220,212
2020-06-29 01:32:31.532548,26.437,255,37,26,220,212
2020-06-29 01:32:36.541212,26.437,255,37,26,220,212
2020-06-29 01:35:00.644273,26.5,255,37,26,219,224
2020-06-29 01:35:05.673321,26.5,255,37,26,219,211
2020-06-29 01:35:10.697053,26.5,255,37,26,219,211
2020-06-29 01:35:15.710944,26.5,255,37,26,219,211
2020-06-29 01:35:20.724264,26.5,255,37,26,221,213
2020-06-29 01:35:25.737613,26.5,255,37,26,218,211
2020-06-29 01:35:30.750925,26.5,255,37,26,218,210
2020-06-29 01:35:35.767602,26.5,255,37,26,218,210
2020-06-29 01:35:40.780914,26.5,255,37,26,217,210
2020-06-29 01:35:45.793029,26.5,255,37,26,217,210
2020-06-29 01:35:50.805081,26.5,255,37,26,217,210
2020-06-29 01:35:55.818408,26.5,255,37,26,217,210
2020-06-29 01:36:00.828490,26.5,255,37,26,191,210
2020-06-29 01:36:05.841892,26.5,255,37,26,164,210
2020-06-29 01:36:10.855874,26.5,255,37,26,217,169
2020-06-29 01:36:15.870421,26.5,255,37,26,217,105
2020-06-29 01:36:20.883885,26.5,255,37,26,217,210
2020-06-29 01:36:25.897153,26.5,255,37,26,217,210
2020-06-29 01:36:30.910439,26.5,255,37,26,217,211
2020-06-29 01:36:35.924288,26.5,255,37,26,217,211
2020-06-29 01:36:40.940428,26.5,255,37,26,217,210
2020-06-29 01:36:45.954347,26.5,255,37,26,217,210
2020-06-29 01:36:50.968747,26.5,255,37,26,217,210
2020-06-29 01:40:15.366090,26.437,254,38,26,218,211
2020-06-29 01:40:19.128466,26.375,254,38,26,217,211
2020-06-29 01:40:22.887887,26.437,252,38,26,217,211
2020-06-29 01:40:26.647883,26.375,250,38,26,218,211
2020-06-29 01:40:30.407886,26.375,250,38,26,217,211
2020-06-29 01:40:34.167887,26.375,250,38,26,217,210
2020-06-29 01:40:37.927906,26.437,146,38,26,218,211
2020-06-29 01:40:41.687902,26.437,143,38,26,218,211
2020-06-29 01:40:45.447894,26.5,149,38,26,218,211
2020-06-29 01:40:49.207867,26.5,153,38,26,218,211
2020-06-29 01:40:52.967885,26.562,250,38,26,217,211
2020-06-29 01:40:56.727864,26.562,250,38,26,218,211
2020-06-29 01:41:00.487902,26.562,250,38,26,217,211
2020-06-29 01:41:04.247881,26.562,253,38,26,217,211
2020-06-29 01:41:08.007871,26.562,255,38,26,217,211
2020-06-29 01:41:11.767863,27.375,255,38,26,217,211
2020-06-29 01:41:15.527900,27.375,255,38,26,218,211
2020-06-29 01:41:19.287874,27.0,255,38,26,217,211
2020-06-29 01:41:23.047883,27.0,254,38,26,217,211
2020-06-29 01:41:26.807908,27.062,255,38,26,217,211
2020-06-29 01:41:30.567921,27.0,255,38,26,217,211
2020-06-29 01:41:34.327940,26.937,255,38,26,217,211
2020-06-29 01:41:38.088934,26.875,255,38,26,217,211
2020-06-29 01:41:41.848051,26.875,255,38,26,218,211
2020-06-29 01:41:45.608115,26.812,255,38,26,217,211
2020-06-29 01:41:49.368447,26.875,255,38,26,218,211
2020-06-29 01:41:53.126822,26.812,255,38,26,217,211
2020-06-29 01:41:56.888009,26.812,255,38,26,217,211
2020-06-29 01:42:00.647987,26.812,255,38,26,217,211
2020-06-29 01:42:04.407996,26.75,255,38,26,217,210
2020-06-29 01:42:08.164538,26.687,255,38,26,218,211
2020-06-29 01:42:11.928017,26.687,255,38,26,218,211
2020-06-29 01:42:15.687964,26.687,255,38,26,217,211
2020-06-29 01:42:19.447899,26.625,255,38,26,217,210
2020-06-29 01:42:23.205666,26.625,255,38,26,217,211
2020-06-29 01:42:26.967897,26.562,255,38,26,217,211
2020-06-29 01:42:30.727597,26.75,255,38,26,217,211
2020-06-29 01:42:34.487602,28.312,255,38,26,217,211
2020-06-29 01:42:38.247733,29.437,255,38,26,217,211
2020-06-29 01:42:42.007588,30.25,255,38,26,217,211
2020-06-29 01:42:45.767750,30.875,255,38,26,217,211
2020-06-29 01:42:49.527727,31.437,222,38,26,217,211
2020-06-29 01:42:53.287700,31.875,228,38,26,217,211
2020-06-29 01:42:57.047733,32.25,223,38,26,218,211
2020-06-29 01:43:00.807725,32.5,254,38,26,217,211
2020-06-29 01:43:04.566791,32.062,255,38,26,199,211
2020-06-29 01:43:08.327707,31.75,255,38,26,216,211
2020-06-29 01:43:12.087704,31.437,255,38,26,217,111
2020-06-29 01:43:15.847706,31.062,255,38,26,217,187
2020-06-29 01:43:19.620075,30.875,255,38,26,217,211
2020-06-29 01:43:23.367727,30.562,255,38,26,217,211
2020-06-29 01:45:57.308346,26.75,255,37,27,217,211
2020-06-29 01:46:00.247899,26.687,255,37,27,218,211
2020-06-29 01:46:03.126823,26.687,255,37,27,217,211
2020-06-29 01:46:06.010464,26.687,255,37,27,217,211
2020-06-29 01:46:08.886735,26.687,255,37,27,218,211
2020-06-29 01:48:09.706774,26.312,255,37,26,217,211
2020-06-29 01:54:10.873030,25.812,255,38,26,217,211
2020-06-29 01:54:14.641310,25.875,255,38,26,217,211
2020-06-29 01:54:18.394762,25.875,255,38,26,217,211
2020-06-29 01:54:22.154789,25.875,255,38,26,217,211
2020-06-29 01:54:25.914773,26.687,255,38,26,217,211
2020-06-29 01:54:29.674821,27.812,255,38,26,217,211
2020-06-29 01:54:33.434832,28.125,254,38,26,217,211
2020-06-29 01:54:37.194791,27.812,252,38,26,217,211
2020-06-29 01:54:40.954783,27.625,250,38,26,217,211
2020-06-29 01:54:44.714779,27.437,251,38,26,218,211
2020-06-29 01:54:48.474750,27.312,251,38,26,217,211
2020-06-29 01:54:52.234800,27.25,251,38,26,218,211
2020-06-29 01:54:55.994792,27.187,251,38,26,218,211
2020-06-29 01:54:59.754772,27.125,251,38,26,218,211
2020-06-29 01:55:03.514813,27.125,250,38,26,218,211
2020-06-29 01:55:07.274773,27.062,249,38,26,218,211
2020-06-29 01:55:11.034786,27.0,252,38,26,218,211
2020-06-29 01:55:14.794780,26.937,251,38,26,217,211
2020-06-29 01:55:18.554804,26.937,255,38,26,217,210
2020-06-29 01:55:22.314790,26.875,255,38,26,217,211
2020-06-29 01:55:26.074760,26.812,255,38,26,217,211
2020-06-29 01:55:29.834794,26.812,255,38,26,217,211
2020-06-29 01:55:33.594810,26.812,255,38,26,217,211
2020-06-29 01:55:37.354759,26.75,255,38,26,217,211
2020-06-29 01:55:41.114761,26.687,255,38,26,199,211
2020-06-29 01:55:44.874781,26.625,255,38,26,211,211
2020-06-29 01:55:48.634777,26.562,255,38,26,203,210
2020-06-29 01:55:52.394788,26.687,255,38,26,205,211
2020-06-29 01:55:56.154781,26.812,255,38,26,188,211
2020-06-29 01:55:59.914785,26.812,255,38,26,170,211
2020-06-29 01:56:03.674810,26.687,255,38,26,153,211
2020-06-29 01:56:07.434705,26.75,255,38,26,137,210
2020-06-29 01:56:11.195928,26.687,255,38,26,121,210
2020-06-29 01:56:14.954770,26.75,255,38,26,107,210
2020-06-29 01:56:18.714754,26.75,255,38,26,93,210
2020-06-29 01:56:22.474769,26.75,255,38,26,79,210
2020-06-29 01:56:26.234772,26.687,255,38,26,67,210
2020-06-29 01:56:29.994768,26.625,255,38,26,56,210
2020-06-29 01:56:33.754847,26.687,255,38,26,184,211
2020-06-29 01:56:37.514889,26.625,255,38,26,206,211
2020-06-29 01:56:41.274882,26.625,255,38,26,217,209
2020-06-29 23:53:42.595215,27.062,255,36,26,218,212
2020-06-29 23:53:46.357883,27.062,255,36,26,218,212
2020-06-29 23:53:50.116970,27.062,255,36,26,218,212
2020-06-29 23:53:53.876981,27.062,255,36,26,218,212
2020-06-29 23:53:57.637064,27.062,172,36,26,223,216
2020-06-29 23:54:01.396989,27.062,152,36,26,224,217
2020-06-29 23:54:05.157017,27.062,144,36,26,224,217
2020-06-29 23:54:08.917256,27.062,253,36,26,222,216
2020-06-29 23:54:12.677250,27.062,255,36,26,232,225
2020-06-29 23:54:16.437302,27.125,255,36,26,222,102
2020-06-29 23:54:20.197002,27.125,255,36,26,222,216
2020-06-29 23:54:23.957085,27.062,255,36,26,214,217
2020-06-29 23:54:27.716937,27.062,255,36,26,190,217
2020-06-29 23:54:31.477116,27.187,255,36,26,167,218
2020-06-29 23:54:35.237043,27.25,255,36,26,144,219
2020-06-29 23:54:38.997113,27.25,255,36,26,216,216
2020-06-29 23:54:42.757411,27.312,255,36,26,220,215
2020-06-29 23:54:46.517133,28.937,255,36,26,220,215
2020-06-29 23:54:50.276967,30.062,255,36,26,220,216
2020-06-29 23:54:54.037246,30.812,255,36,26,220,216
2020-06-29 23:54:57.796995,31.312,255,36,26,220,216
2020-06-29 23:55:01.557071,30.937,255,36,26,219,215
2020-06-29 23:55:05.317111,30.687,255,36,26,217,215
2020-06-30 00:13:23.235079,26.812,255,35,27,216,211
2020-06-30 00:13:27.076889,26.812,255,35,27,216,211
2020-06-30 00:13:30.916901,26.812,255,35,27,216,211
2020-06-30 00:13:34.756781,26.875,255,35,27,216,211
2020-06-30 00:13:38.596807,26.937,255,35,27,216,211
2020-06-30 00:13:42.436817,26.937,255,35,27,216,211
2020-06-30 00:13:46.276898,26.937,255,35,27,216,211
2020-06-30 00:13:50.116929,27.0,255,35,27,217,211
2020-06-30 00:13:53.956916,27.0,255,35,27,216,211
